133,150,,17
419,447,,28
690,777,,87
875,897,,22
1148,1184,,36
1563,1568,,5
1754,1772,,18
1892,1902,,10
2034,2122,,88
2230,2280,,50
2586,2609,,23
3043,3120,,77
3475,3549,,74
4028,4045,,17
4126,4155,,29
4157,4180,,23
4205,4248,,43
4533,4605,,72
4641,4653,,12
5094,5119,,25
5312,5394,,82
5768,5852,,84
6050,6073,,23
6289,6371,,82
6511,6582,,71
7033,7132,,99
7150,7178,,28
7390,7448,,58
7744,7824,,80
8037,8114,,77
8184,8234,,50
8668,8682,,14
8802,8821,,19
8958,9015,,57
9501,9540,,39
9986,10003,,17
10223,10270,,47
10457,10526,,69
10666,10750,,84
10877,10879,,2
11354,11424,,70
11656,11752,,96
11784,11848,,64
12106,12157,,51
12306,12381,,75
12788,12849,,61
13106,13131,,25
13145,13229,,84
13402,13466,,64
13770,13826,,56
13899,13938,,39
13996,14008,,12
14176,14214,,38
14653,14655,,2
14878,14953,,75
15071,15129,,58
15291,15322,,31
15602,15661,,59
15819,15865,,46
16046,16078,,32
16292,16335,,43
16416,16504,,88
16554,16588,,34
16980,16996,,16
17126,17159,,33
17492,17557,,65
18042,18127,,85
18209,18217,,8
18525,18569,,44
18674,18731,,57
18900,18927,,27
19016,19021,,5
19257,19302,,45
19715,19754,,39
20154,20231,,77
20238,20337,,99
20720,20743,,23
20801,20817,,16
21194,21201,,7
21647,21746,,99
22078,22149,,71
22247,22299,,52
22784,22865,,81
23036,23077,,41
23361,23437,,76
23585,23680,,95
24092,24146,,54
24314,24386,,72
24645,24705,,60
24718,24798,,80
24824,24886,,62
25077,25170,,93
25637,25662,,25
26148,26167,,19
26620,26673,,53
26808,26870,,62
27106,27178,,72
27474,27492,,18
27863,27935,,72
28282,28377,,95
28572,28638,,66
28860,28883,,23
29153,29202,,49
29547,29639,,92
29696,29751,,55
30094,30139,,45
30224,30229,,5
30381,30455,,74
30791,30801,,10
31167,31222,,55
31449,31511,,62
31932,31991,,59
32151,32196,,45
32516,32594,,78
32897,32975,,78
33342,33401,,59
33610,33666,,56
34144,34221,,77
34315,34353,,38
34848,34922,,74
35126,35167,,41
35569,35632,,63
35716,35740,,24
35826,35922,,96
36385,36477,,92
36874,36928,,54
37377,37468,,91
37604,37695,,91
38000,38064,,64
38353,38371,,18
38666,38699,,33
39124,39163,,39
39234,39257,,23
39290,39319,,29
39535,39605,,70
39988,40052,,64
40512,40565,,53
41013,41029,,16
41383,41389,,6
41439,41466,,27
41884,41932,,48
42151,42242,,91
42695,42702,,7
42859,42956,,97
43398,43449,,51
43814,43883,,69
44340,44349,,9
44790,44804,,14
45156,45224,,68
45714,45806,,92
46305,46354,,49
46573,46621,,48
46888,46957,,69
46978,47067,,89
47327,47353,,26
47412,47490,,78
47516,47570,,54
47683,47767,,84
48054,48153,,99
48472,48479,,7
48730,48751,,21
49013,49038,,25
49105,49143,,38
49266,49276,,10
49750,49784,,34
50209,50248,,39
50649,50712,,63
50780,50829,,49
51299,51384,,85
51396,51493,,97
51756,51835,,79
52036,52103,,67
52535,52617,,82
52657,52756,,99
53064,53082,,18
53314,53386,,72
53538,53566,,28
53646,53725,,79
54158,54228,,70
54627,54690,,63
54721,54742,,21
54747,54815,,68
55205,55292,,87
55515,55602,,87
55801,55884,,83
56101,56165,,64
56638,56723,,85
57076,57081,,5
57241,57306,,65
57605,57689,,84
58106,58162,,56
58396,58480,,84
58508,58573,,65
58852,58882,,30
59313,59316,,3
59444,59537,,93
59703,59784,,81
60053,60142,,89
60580,60674,,94
60815,60837,,22
61310,61338,,28
61723,61759,,36
62099,62163,,64
62654,62726,,72
62871,62896,,25
62905,62936,,31
63019,63117,,98
63576,63658,,82
63853,63899,,46
63915,63967,,52
64324,64361,,37
64645,64704,,59
65063,65113,,50
65549,65553,,4
65740,65755,,15
65815,65895,,80
66304,66379,,75
66611,66709,,98
66764,66829,,65
66915,67009,,94
67155,67247,,92
67507,67544,,37
67696,67716,,20
67896,67961,,65
68336,68375,,39
68450,68465,,15
68742,68830,,88
69149,69162,,13
69620,69668,,48
69684,69693,,9
69699,69756,,57
69777,69849,,72
70272,70283,,11
70626,70630,,4
70885,70974,,89
71414,71443,,29
71590,71628,,38
71666,71734,,68
71960,72035,,75
72430,72507,,77
72706,72736,,30
73063,73080,,17
73167,73186,,19
73402,73453,,51
73533,73592,,59
73818,73909,,91
73934,73957,,23
74053,74072,,19
74275,74282,,7
74704,74763,,59
75200,75242,,42
75419,75495,,76
75810,75883,,73
76106,76141,,35
76191,76289,,98
76758,76811,,53
77161,77202,,41
77435,77523,,88
77718,77805,,87
78140,78218,,78
78272,78287,,15
78478,78499,,21
78977,79015,,38
79378,79467,,89
79870,79966,,96
80347,80445,,98
80514,80583,,69
80586,80662,,76
81007,81036,,29
81245,81294,,49
81450,81502,,52
81700,81746,,46
82061,82148,,87
82207,82244,,37
82598,82627,,29
82904,82944,,40
83260,83315,,55
83376,83440,,64
83651,83686,,35
83929,83991,,62
84304,84374,,70
84381,84441,,60
84453,84490,,37
84978,85011,,33
85462,85498,,36
85677,85699,,22
85727,85747,,20
86073,86116,,43
86249,86292,,43
86788,86858,,70
87347,87408,,61
87744,87789,,45
87987,88041,,54
88395,88407,,12
88778,88834,,56
89193,89271,,78
89698,89792,,94
90240,90299,,59
90310,90384,,74
90484,90507,,23
90625,90652,,27
90710,90743,,33
90870,90895,,25
90970,91017,,47
91246,91345,,99
91416,91495,,79
91983,92029,,46
92519,92606,,87
92794,92853,,59
93006,93030,,24
93295,93377,,82
93557,93653,,96
93936,93948,,12
94206,94238,,32
94492,94566,,74
95014,95033,,19
95488,95490,,2
95727,95779,,52
95793,95854,,61
95909,95984,,75
96436,96515,,79
96694,96696,,2
97009,97052,,43
97135,97202,,67
97509,97513,,4
97535,97625,,90
97961,97982,,21
98197,98255,,58
98405,98456,,51
98797,98806,,9
99249,99342,,93
99740,99820,,80
100174,100228,,54
100675,100749,,74
100987,101072,,85
101383,101392,,9
101571,101657,,86
101926,101941,,15
102072,102081,,9
102191,102212,,21
102334,102362,,28
102430,102454,,24
102818,102856,,38
103055,103084,,29
103505,103604,,99
103682,103749,,67
103811,103900,,89
103978,104050,,72
104391,104417,,26
104422,104499,,77
104789,104810,,21
104988,105028,,40
105293,105355,,62
105792,105862,,70
106247,106346,,99
106741,106817,,76
107088,107125,,37
107340,107392,,52
107716,107718,,2
107808,107856,,48
108222,108300,,78
108373,108412,,39
108738,108807,,69
109096,109140,,44
109571,109659,,88
109773,109782,,9
109921,109940,,19
110296,110335,,39
110384,110448,,64
110490,110559,,69
110888,110903,,15
111073,111117,,44
111486,111577,,91
111934,111954,,20
112371,112464,,93
112674,112773,,99
112812,112837,,25
112839,112924,,85
113135,113193,,58
113576,113658,,82
113718,113798,,80
114060,114159,,99
114217,114251,,34
114611,114654,,43
115060,115078,,18
115325,115412,,87
115754,115834,,80
116070,116101,,31
116264,116290,,26
116541,116589,,48
116867,116884,,17
117366,117450,,84
117645,117660,,15
117661,117759,,98
117933,117942,,9
117987,118017,,30
118205,118228,,23
118349,118438,,89
118796,118828,,32
119309,119331,,22
119428,119447,,19
119753,119776,,23
120062,120093,,31
120592,120598,,6
121049,121083,,34
121437,121526,,89
121879,121881,,2
122345,122381,,36
122867,122928,,61
123167,123264,,97
123701,123737,,36
123867,123901,,34
123964,123967,,3
124126,124178,,52
124647,124660,,13
125001,125024,,23
125514,125536,,22
125952,126047,,95
126068,126119,,51
126371,126460,,89
126647,126709,,62
